genre,sample_id,window_size,ttr,mattr,hdd,mtld
mystery,6,10000,0.231100,0.818543,0.885363,97.096531
mystery,7,10000,0.236300,0.825274,0.876999,105.445011
mystery,8,10000,0.247000,0.819114,0.880264,101.146974
mystery,9,10000,0.231000,0.819305,0.885713,98.139715
mystery,10,10000,0.241800,0.820615,0.872220,102.565550
news,1,10000,0.321000,0.817956,0.881186,108.208615
news,2,10000,0.284300,0.806341,0.857177,97.149327
news,3,10000,0.276600,0.823497,0.874880,111.820866
news,4,10000,0.287800,0.814551,0.880407,101.179841
news,5,10000,0.276800,0.824329,0.875701,111.072475
news,6,10000,0.294600,0.811209,0.879194,97.912438
news,7,10000,0.294200,0.824707,0.876555,106.293735
news,8,10000,0.299600,0.826811,0.874262,108.477318
news,9,10000,0.287000,0.812953,0.878937,100.110192
news,10,10000,0.293100,0.824247,0.877327,110.009219
religion,1,10000,0.250700,0.791778,0.851824,80.770982
religion,2,10000,0.259000,0.789330,0.852050,80.480007
religion,3,10000,0.247100,0.789736,0.854082,79.519938
religion,4,10000,0.242500,0.788170,0.857414,77.775015
religion,5,10000,0.251500,0.792349,0.857430,79.435626
religion,6,10000,0.246300,0.793731,0.860719,80.376301
religion,7,10000,0.247500,0.786333,0.853530,77.195386
religion,8,10000,0.247600,0.789945,0.854293,79.705882
religion,9,10000,0.247000,0.795745,0.861047,80.637361
religion,10,10000,0.242700,0.788427,0.851307,76.097249
reviews,1,10000,0.317300,0.824892,0.866178,120.775441
reviews,2,10000,0.319100,0.828966,0.869400,128.246840
reviews,3,10000,0.327700,0.822575,0.869624,117.792765
reviews,4,10000,0.316500,0.828811,0.869744,127.621829
reviews,5,10000,0.333200,0.826669,0.872358,120.666188
reviews,6,10000,0.309700,0.822948,0.869495,112.070669
reviews,7,10000,0.321200,0.819869,0.867071,112.757262
reviews,8,10000,0.316200,0.827372,0.868440,122.365270
reviews,9,10000,0.306600,0.824695,0.870157,117.368219
reviews,10,10000,0.307100,0.824904,0.870149,115.401286
romance,1,10000,0.222700,0.812968,0.880241,95.457764
romance,2,10000,0.225500,0.826719,0.879587,109.972386
romance,3,10000,0.218800,0.820983,0.873938,104.138012
romance,4,10000,0.238800,0.794672,0.864771,82.494326
romance,5,10000,0.227100,0.820068,0.875464,101.761657
romance,6,10000,0.263300,0.818324,0.875763,103.583539
romance,7,10000,0.215900,0.791945,0.860748,78.079807
romance,8,10000,0.231800,0.799719,0.861015,83.845432
romance,9,10000,0.249300,0.805567,0.874843,90.494225
romance,10,10000,0.216700,0.791947,0.860520,78.186790
science_fiction,1,10000,0.262900,0.815946,0.877807,102.836879
science_fiction,2,10000,0.270000,0.818872,0.881289,105.565342
science_fiction,3,10000,0.264000,0.816031,0.879226,103.023672
science_fiction,4,10000,0.270400,0.820360,0.882223,105.639306
science_fiction,5,10000,0.263700,0.816256,0.879269,103.597554
science_fiction,6,10000,0.265700,0.817088,0.880740,104.805529
science_fiction,7,10000,0.269600,0.820316,0.882518,105.656420
science_fiction,8,10000,0.270600,0.820910,0.882998,105.404938
science_fiction,9,10000,0.270600,0.820623,0.882134,106.173099
science_fiction,10,10000,0.270500,0.820103,0.882073,105.716965
